TRANSACTIONID,ACCOUNTID,ACCOUNTTYPEID,CUSTOMERID,CUSTOMERTYPEID,PRODUCTID,PRODUCTCATEGORYID,PROFITCENTERID,VERSION,DATE,VALUE
184,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20180801,126809
185,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20180901,79376
186,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20181001,42592
187,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20181101,57838
188,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20181201,26862
189,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190101,11616
190,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190201,315329
191,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190301,194570
192,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190401,203151
193,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190501,77719
194,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190601,45911
195,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190701,22805
196,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190801,157240
197,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190901,98425
198,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20191001,52813
199,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20191101,71718
200,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20191201,33308
201,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20200101,14403
202,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20200201,390999
203,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20200301,241261
204,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20200401,355960
205,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20200501,91080
206,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20200601,90200
207,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20180401,68682
208,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20180501,39352
209,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20180601,15592
210,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20180701,105807
211,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20180801,168920
212,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20180901,116202
213,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20181001,195651
214,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20181101,39352
215,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20181201,45664
216,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190101,18933
217,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190201,156669
218,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190301,121400
219,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190401,85163
220,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190501,48796
221,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190601,19334
222,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190701,131198
223,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190801,209456
224,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190901,144087
225,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20191001,242601
226,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20191101,48796
227,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20191201,56622
228,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20200101,23477
229,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20200201,194265
230,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20200301,150532
231,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20200401,173475
232,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20200501,71550
233,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20200601,29025
234,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20180401,26453
235,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20180501,95341
236,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20180601,63928
237,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20180701,198398
238,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20180801,189580
239,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20180901,200051
240,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20181001,82665
241,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20181101,139981
242,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20181201,52355
243,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190101,43537
244,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190201,344992
245,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190301,217687
246,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190401,32801
247,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190501,118220
248,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190601,79269
249,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190701,246008
250,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190801,235074
251,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190901,248058
252,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20191001,102503
253,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20191101,173572
254,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20191201,64918
255,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20200101,53985
256,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20200201,427781
257,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20200301,269925
258,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20200401,136272
